0,nail,color,polish,coat,gel,product,top,work,like,really,dry,file,one,get,use,good,look,would,buy,~,konad,cuticle,stamp,make,clipper,great,gelish,bottle,fast,pretty
1,acne,soap,wash,oil,body,use,skin,foundation,mask,ingredient,serum,clean,dry,shower,peel,cleanser,feel,look,love,pore,clear,great,oily,toner,cream,water,treatment,natural,powder,face
2,lotion,product,like,tan,hand,smell,dry,feel,use,body,love,tanning,nice,face,skin,spray,work,vaseline,find,natural,good,one,great,greasy,keep,go,scent,34,make,tanner
3,lash,mascara,use,product,get,look,good,work,would,one,eyelash,long,try,like,much,time,curl,love,brand,say,see,really,well,tube,volume,curler,even,week,make,first
4,soap,scent,smell,fragrance,product,perfume,great,love,nice,use,34,wear,shampoo,wash,skin,water,get,hair,bar,body,floral,last,go,day,oil,bottle,spray,note,cologne,clean
5,color,hair,like,love,lip,pink,good,look,would,dark,lipstick,pretty,really,dye,great,get,product,brown,day,make,one,polish,use,skin,right,palette,natural,blush,coat,gloss
6,brush,hair,bristle,foundation,good,get,shed,set,great,price,like,face,buy,one,size,use,love,quality,apply,look,much,make,really,soft,powder,come,thick,every,back,product
7,product,use,face,look,hair,hand,see,great,oil,makeup,powder,love,wash,light,go,long,work,hard,time,minute,week,good,well,skin,recommend,day,price,bottle,order,amazon
8,eye,makeup,use,look,make,skin,product,like,get,line,remover,cream,try,remove,perfect,dark,color,also,go,really,oil,leave,area,good,around,find,concealer,shadow,liner,eyeliner
9,hair,color,dryer,dry,iron,curl,get,one,use,light,straightener,go,look,natural,would,wash,flat,good,like,water,heat,dye,shampoo,conditioner,blow,want,long,come,apply,time
